ID Taxon Model Specimen ML WOB WCH WOR WIE VWMO HOB HCH HOR HP HPE
Kinosternon_subrubrum_2_ec Kinosternon_subrubrum endocast R_10089 14.43 3.49 6.79 3.1 2.18 3.33 1.06 3.87 4.43 0.74 2.89
Kinosternon_subrubrum_2_br Kinosternon_subrubrum brain R_10089 14.36 3.63 6.59 3.18 1.79 2.21 2.22 4.45 1.89 1.01 0.99
Macrochelys_temmincki_ec Macrochelys_temmincki endocast GPIT/RE/10801 43.14 5.56 12.17 8.58 6.46 6.65 6.06 12.87 12.98 0.78 7.25
Malacochersus_tornieri_ec Malacochersus_tornieri endocast SMF_58702 50.16 14.43 24.09 13.14 10.79 12.11 9.64 14.81 16.24 1.87 13.26
Naomichelys_speciosa_ec Naomichelys_speciosa endocast FMNH_PR273 66.08 18.38 24.04 16.44 11.97 14.1 7.75 18.4 17.79 0.01 13.36
Pelodiscus_sinensis_ec Pelodiscus_sinensis endocast IW576-2 58.22 8.57 21.98 8.91 6.03 9.66 9.64 11.51 10.63 2.13 10.06
Pelusios_niger_ec Pelusios_niger endocast SMNS_4625 9.31 2.74 5.23 2.82 2.23 2.56 2.05 3.25 4.3 0.64 2.56
Pelusios_niger_br Pelusios_niger brain SMNS_4625 9.43 2.74 4.86 3.43 2 2.57 1.27 3.73 1.75 1.32 1.49
Platysternon_megacephalum_2_ec Platysternon_megacephalum endocast R_12559 19.96 4.25 8.45 4.28 4.37 3.86 3.14 5.67 6.61 0.38 2.96
Platysternon_megacephalum_2_br Platysternon_megacephalum brain R_12559 20.08 4.08 7.67 5.05 3.95 4.1 2.21 5.03 2.43 1.46 1.43
Platysternon_megacephalum_1_ec Platysternon_megacephalum endocast SMF_69684 20.05 3.26 5.37 3.24 2.79 3.72 1.5 4.53 3.65 1.14 3.69
Podocnemis_erythrocephala_ec Podocnemis_erythrocephala endocast SMNS_6063 9.89 2.59 6.52 3.55 3.04 2.82 2.41 3.89 5.53 0.57 1.38
Podocnemis_erythrocephala_br Podocnemis_erythrocephala brain SMNS_6063 9.89 2.2 6.78 3.67 3 3.19 2.32 4.1 1.77 0.54 1.14
Podocnemis_unifilis_ec Podocnemis_unifilis endocast SMF_55470 21.52 5.49 7.93 4.2 3.3 3.87 3 6.96 4.87 0.53 4.92
Proganochelys_quenstedti_1_ec Proganochelys_quenstedti endocast MB_1910.45.2 63.66 10.99 10.79 9.26 9.4 12.12 10 13.8 21.06 1.38 13.89
Proganochelys_quenstedti_2_ec Proganochelys_quenstedti endocast SMNS_16980 48.86 10.98 13.3 15.04 13.57 15.08 5.8 13.68 13.61 5.21 8.32
Rhinochelys_pulchriceps_ec Rhinochelys_pulchriceps endocast CAMSM_B55775 26.71 7.34 8.71 5.89 4.58 7.44 3.48 10.47 12.13 2 9
Sandownia_harrisi_ec Sandownia_harrisi endocast MIWG3480 35.8 9.05 10.03 12.19 7.25 8.89 5.12 9.22 11.44 2.01 7.74
Xinjiangchelys_radiplicatoides_ec Xinjiangchelys_radiplicatoides endocast IVPP_V9539 27.18 7.8 9.48 8.42 3.46 6.61 3.38 8.02 8.74 1.44 8.09
